objectid,filename,youtubeid,vimeoid,title,creator,date,description,subject,location,latitude,longitude,source,identifier,type,format,language,rights,rightsstatement
coll016,Rengsanggri_Tura_First_Trip_Back_32.jpg,,,"Rengsanggri, Tura, Image 15",Robbins Burling,~1996-1997,Photo of road with jeep in motion,Robbins Burling; anthropology; fieldwork; photography; visual anthropology; Garo; history; India; Meghalaya;,Rengsanggri; Tura; Meghalaya; India;,N/A,N/A,,,Image;StillImage,image/jpeg,eng,,
coll017,Rengsanggri_Tura_First_Trip_Back_34.jpg,,,"Rengsanggri, Tura, Image 16",Robbins Burling,~1996-1997,Photo of road taken from uphill,Robbins Burling; anthropology; fieldwork; photography; visual anthropology; Garo; history; India; Meghalaya;,Rengsanggri; Tura; Meghalaya; India;,N/A,N/A,,,Image;StillImage,image/jpeg,eng,,
coll018,Rengsanggri_Tura_First_Trip_Back_35.jpg,,,"Rengsanggri, Tura, Image 17",Robbins Burling,~1996-1997,"Photo of road from another angle, people are moving about it",Robbins Burling; anthropology; fieldwork; photography; visual anthropology; Garo; history; India; Meghalaya;,Rengsanggri; Tura; Meghalaya; India;,N/A,N/A,,,Image;StillImage,image/jpeg,eng,,
coll019,Rengsanggri_Tura_First_Trip_Back_38.jpg,,,"Rengsanggri, Tura, Image 18",Robbins Burling,~1996-1997,Photo of treehouse,Robbins Burling; anthropology; fieldwork; photography; visual anthropology; Garo; history; India; Meghalaya;,Rengsanggri; Tura; Meghalaya; India;,N/A,N/A,,,Image;StillImage,image/jpeg,eng,,
coll020,Rengsanggri_Tura_First_Trip_Back_40.jpg,,,"Rengsanggri, Tura, Image 19",Robbins Burling,~1996-1997,Photo of building/fence exterior with chicken out front,Robbins Burling; anthropology; fieldwork; photography; visual anthropology; Garo; history; India; Meghalaya;,Rengsanggri; Tura; Meghalaya; India;,N/A,N/A,,,Image;StillImage,image/jpeg,eng,,
coll021,Rengsanggri_Tura_First_Trip_Back_43.jpg,,,"Rengsanggri, Tura, Image 20",Robbins Burling,~1996-1997,Photo of garden,Robbins Burling; anthropology; fieldwork; photography; visual anthropology; Garo; history; India; Meghalaya;,Rengsanggri; Tura; Meghalaya; India;,N/A,N/A,,,Image;StillImage,image/jpeg,eng,,
coll022,Rengsanggri_Tura_First_Trip_Back_45.jpg,,,"Rengsanggri, Tura, Image 21",Robbins Burling,~1996-1997,"Photo of several people outside of building labeled ""Tura Book Room""",Robbins Burling; anthropology; fieldwork; photography; visual anthropology; Garo; history; India; Meghalaya;,Rengsanggri; Tura; Meghalaya; India;,N/A,N/A,,,Image;StillImage,image/jpeg,eng,,
coll023,Rengsanggri_Tura_First_Trip_Back_46.jpg,,,"Rengsanggri, Tura, Image 22",Robbins Burling,~1996-1997,Photo of road/field with several wooden constructions on turf,Robbins Burling; anthropology; fieldwork; photography; visual anthropology; Garo; history; India; Meghalaya;,Rengsanggri; Tura; Meghalaya; India;,N/A,N/A,,,Image;StillImage,image/jpeg,eng,,
coll024,Rengsanggri_Tura_First_Trip_Back_47.jpg,,,"Rengsanggri, Tura, Image 23",Robbins Burling,~1996-1997,Photo of road/field with several wooden constructions on turf from second angle,Robbins Burling; anthropology; fieldwork; photography; visual anthropology; Garo; history; India; Meghalaya;,Rengsanggri; Tura; Meghalaya; India;,N/A,N/A,,,Image;StillImage,image/jpeg,eng,,
coll025,Robbins_Burling.jpg,,,Robbins Burling profile,Robbins Burling,~1996-1997,Photo of Robbins Burling,Robbins Burling; anthropology; fieldwork; photography; visual anthropology; Garo; history; India; Meghalaya;,Rengsanggri; Tura; Meghalaya; India;,N/A,N/A,,,Image;StillImage,image/jpeg,eng,,
